gene	geneLabel	cloneA	cloneALabel	cloneB	cloneBLabel	exprA	exprB	foldChange
http://example.org/mcbo#gene_ACTB	ACTB	http://example.org/mcbo#clone_Clone_A	Clone_A	http://example.org/mcbo#clone_Clone_B	Clone_B	1000.0	1000.0	
http://example.org/mcbo#gene_ACTB	ACTB	http://example.org/mcbo#clone_Clone_A	Clone_A	http://example.org/mcbo#clone_Clone_B	Clone_B	1000.0	950.0	
http://example.org/mcbo#gene_ACTB	ACTB	http://example.org/mcbo#clone_Clone_A	Clone_A	http://example.org/mcbo#clone_Clone_B	Clone_B	1000.0	1100.0	
http://example.org/mcbo#gene_ACTB	ACTB	http://example.org/mcbo#clone_Clone_A	Clone_A	http://example.org/mcbo#clone_Clone_B	Clone_B	1000.0	800.0	
http://example.org/mcbo#gene_ACTB	ACTB	http://example.org/mcbo#clone_Clone_A	Clone_A	http://example.org/mcbo#clone_Clone_B	Clone_B	950.0	1000.0	
http://example.org/mcbo#gene_ACTB	ACTB	http://example.org/mcbo#clone_Clone_A	Clone_A	http://example.org/mcbo#clone_Clone_B	Clone_B	950.0	950.0	
http://example.org/mcbo#gene_ACTB	ACTB	http://example.org/mcbo#clone_Clone_A	Clone_A	http://example.org/mcbo#clone_Clone_B	Clone_B	950.0	1100.0	
http://example.org/mcbo#gene_ACTB	ACTB	http://example.org/mcbo#clone_Clone_A	Clone_A	http://example.org/mcbo#clone_Clone_B	Clone_B	950.0	800.0	
http://example.org/mcbo#gene_ACTB	ACTB	http://example.org/mcbo#clone_Clone_A	Clone_A	http://example.org/mcbo#clone_Clone_B	Clone_B	1100.0	1000.0	
http://example.org/mcbo#gene_ACTB	ACTB	http://example.org/mcbo#clone_Clone_A	Clone_A	http://example.org/mcbo#clone_Clone_B	Clone_B	1100.0	950.0	
http://example.org/mcbo#gene_ACTB	ACTB	http://example.org/mcbo#clone_Clone_A	Clone_A	http://example.org/mcbo#clone_Clone_B	Clone_B	1100.0	1100.0	
