gene	geneLabel	expressionValue	productivityValue	productivityCategory	processType	cellLine
http://example.org/mcbo#gene_ACTB	ACTB	950.0	5.0	Very High productivity	http://example.org/mcbo#PerfusionCultureProcess	http://example.org/mcbo#cellline_HEK293
http://example.org/mcbo#gene_GAPDH	GAPDH	800.0	5.0	Very High productivity	http://example.org/mcbo#PerfusionCultureProcess	http://example.org/mcbo#cellline_HEK293
http://example.org/mcbo#gene_HSP90	HSP90	600.0	5.0	Very High productivity	http://example.org/mcbo#PerfusionCultureProcess	http://example.org/mcbo#cellline_HEK293
http://example.org/mcbo#gene_IL6	IL6	500.0	5.0	Very High productivity	http://example.org/mcbo#PerfusionCultureProcess	http://example.org/mcbo#cellline_HEK293
http://example.org/mcbo#gene_CXCL8	CXCL8	300.0	5.0	Very High productivity	http://example.org/mcbo#PerfusionCultureProcess	http://example.org/mcbo#cellline_HEK293
http://example.org/mcbo#gene_TNF	TNF	200.0	5.0	Very High productivity	http://example.org/mcbo#PerfusionCultureProcess	http://example.org/mcbo#cellline_HEK293
http://example.org/mcbo#gene_ACTB	ACTB	1100.0	4.0	High productivity	http://example.org/mcbo#FedBatchCultureProcess	http://example.org/mcbo#cellline_CHO-K1
http://example.org/mcbo#gene_ACTB	ACTB	1100.0	4.0	High productivity	http://example.org/mcbo#FedBatchCultureProcess	http://example.org/mcbo#clone_Clone_A
http://example.org/mcbo#gene_ACTB	ACTB	980.0	4.0	High productivity	http://example.org/mcbo#PerfusionCultureProcess	http://example.org/mcbo#cellline_CHO-DG44
http://example.org/mcbo#gene_ACTB	ACTB	980.0	4.0	High productivity	http://example.org/mcbo#PerfusionCultureProcess	http://example.org/mcbo#clone_Clone_X
http://example.org/mcbo#gene_IL6	IL6	950.0	4.0	High productivity	http://example.org/mcbo#FedBatchCultureProcess	http://example.org/mcbo#cellline_HEK293
http://example.org/mcbo#gene_GAPDH	GAPDH	900.0	4.0	High productivity	http://example.org/mcbo#FedBatchCultureProcess	http://example.org/mcbo#cellline_CHO-K1
http://example.org/mcbo#gene_GAPDH	GAPDH	900.0	4.0	High productivity	http://example.org/mcbo#FedBatchCultureProcess	http://example.org/mcbo#clone_Clone_A
http://example.org/mcbo#gene_ACTB	ACTB	880.0	4.0	High productivity	http://example.org/mcbo#BatchCultureProcess	http://example.org/mcbo#cellline_HEK293
http://example.org/mcbo#gene_ACTB	ACTB	820.0	4.0	High productivity	http://example.org/mcbo#FedBatchCultureProcess	http://example.org/mcbo#cellline_HEK293
http://example.org/mcbo#gene_GAPDH	GAPDH	820.0	4.0	High productivity	http://example.org/mcbo#PerfusionCultureProcess	http://example.org/mcbo#cellline_CHO-DG44
http://example.org/mcbo#gene_GAPDH	GAPDH	820.0	4.0	High productivity	http://example.org/mcbo#PerfusionCultureProcess	http://example.org/mcbo#clone_Clone_X
http://example.org/mcbo#gene_GAPDH	GAPDH	720.0	4.0	High productivity	http://example.org/mcbo#BatchCultureProcess	http://example.org/mcbo#cellline_HEK293
http://example.org/mcbo#gene_GAPDH	GAPDH	650.0	4.0	High productivity	http://example.org/mcbo#FedBatchCultureProcess	http://example.org/mcbo#cellline_HEK293
http://example.org/mcbo#gene_CXCL8	CXCL8	550.0	4.0	High productivity	http://example.org/mcbo#FedBatchCultureProcess	http://example.org/mcbo#cellline_HEK293
http://example.org/mcbo#gene_HSP90	HSP90	450.0	4.0	High productivity	http://example.org/mcbo#BatchCultureProcess	http://example.org/mcbo#cellline_HEK293
http://example.org/mcbo#gene_IL6	IL6	450.0	4.0	High productivity	http://example.org/mcbo#BatchCultureProcess	http://example.org/mcbo#cellline_HEK293
http://example.org/mcbo#gene_TNF	TNF	420.0	4.0	High productivity	http://example.org/mcbo#FedBatchCultureProcess	http://example.org/mcbo#cellline_HEK293
http://example.org/mcbo#gene_ERBB2	ERBB2	400.0	4.0	High productivity	http://example.org/mcbo#PerfusionCultureProcess	http://example.org/mcbo#cellline_CHO-DG44
http://example.org/mcbo#gene_ERBB2	ERBB2	400.0	4.0	High productivity	http://example.org/mcbo#PerfusionCultureProcess	http://example.org/mcbo#clone_Clone_X
http://example.org/mcbo#gene_EGFR	EGFR	320.0	4.0	High productivity	http://example.org/mcbo#PerfusionCultureProcess	http://example.org/mcbo#cellline_CHO-DG44
http://example.org/mcbo#gene_EGFR	EGFR	320.0	4.0	High productivity	http://example.org/mcbo#PerfusionCultureProcess	http://example.org/mcbo#clone_Clone_X
http://example.org/mcbo#gene_MYC	MYC	300.0	4.0	High productivity	http://example.org/mcbo#FedBatchCultureProcess	http://example.org/mcbo#cellline_CHO-K1
http://example.org/mcbo#gene_MYC	MYC	300.0	4.0	High productivity	http://example.org/mcbo#FedBatchCultureProcess	http://example.org/mcbo#clone_Clone_A
